DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2019
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";3;310;19;2;14;6;271;9;19;37;42;18;45;21;1;118;990;428;128;1820;28;-;2;216;60;1004;72;5683
"Semana 02";6;341;43;8;35;1;344;24;27;39;62;43;85;55;1;297;1698;512;224;2627;55;3;7;445;169;1854;80;9085
"Semana 03";6;352;50;8;44;6;586;74;41;49;65;41;85;61;5;349;2142;617;220;3571;81;3;8;498;152;1713;88;10915
"Semana 04";6;364;48;6;52;2;537;66;48;74;49;53;122;81;5;545;2664;652;250;5410;101;2;3;808;180;1770;124;14022
"Semana 05";9;310;38;7;64;2;700;58;34;95;56;76;188;70;5;630;4180;769;215;7679;176;8;7;1111;177;2227;180;19071
"Semana 06";7;292;37;10;57;3;826;51;26;148;43;62;242;83;6;689;4652;768;159;9349;220;5;2;1247;179;2334;226;21723
"Semana 07";4;354;32;7;80;6;692;61;57;150;65;84;372;73;5;888;5571;958;228;10734;348;10;4;1403;164;2687;310;25347
"Semana 08";13;320;30;7;98;4;606;74;60;218;79;119;356;111;4;952;7046;926;191;11903;386;8;4;1834;215;3046;435;29045
"Semana 09";18;205;31;5;75;7;684;74;57;208;107;79;252;95;4;914;7344;976;201;11551;380;13;6;2530;181;2801;457;29255
"Semana 10";7;166;15;14;47;4;458;75;24;156;55;71;179;50;10;678;7955;858;173;10539;373;25;10;3034;135;2388;392;27891
"Semana 11";5;191;29;12;98;6;512;131;121;302;76;113;334;207;16;764;11378;1354;422;12650;637;29;13;3718;204;3442;599;37363
"Semana 12";12;208;25;12;88;12;633;120;126;286;120;172;340;142;13;927;15380;1498;575;14710;1062;73;24;3666;220;4141;907;45492
"Semana 13";20;215;30;18;76;11;576;122;222;376;98;182;439;124;13;1041;19177;1774;760;18170;1197;98;35;3875;289;4396;1021;54355
"Semana 14";6;143;21;15;83;4;573;185;216;487;244;240;496;147;13;1011;22969;1990;1097;20972;1362;131;55;2523;276;4534;1060;60853
"Semana 15";28;131;12;15;51;16;566;145;339;621;346;307;622;224;30;1031;24742;1887;1200;22621;1591;114;46;3452;316;4830;1089;66372
"Semana 16";29;84;21;11;61;5;481;113;161;467;300;327;498;136;24;839;23949;1722;1234;22738;1825;135;80;3170;276;3731;839;63256
"Semana 17";9;96;27;9;50;5;492;197;362;585;290;441;971;157;32;1175;33500;2271;1606;28266;2499;153;143;2693;386;5146;1469;83030
"Semana 18";15;88;22;11;67;3;423;135;338;502;329;408;1131;270;46;1337;33414;1843;1669;25869;2327;129;148;2627;334;5047;1511;80043
"Semana 19";15;81;15;5;55;7;422;160;414;705;341;479;1286;395;88;1759;34720;2588;2058;28123;3016;150;151;2858;411;5260;1439;87001
"Semana 20";10;66;19;23;60;5;385;173;408;703;292;603;1382;449;119;1992;33054;2810;1880;29104;3031;172;161;2190;371;5224;1719;86405
"Semana 21";19;62;11;15;48;-;345;201;444;663;345;508;1497;651;164;2235;28288;2632;1816;25921;2639;144;130;1670;431;5214;2083;78176
"Semana 22";5;47;18;25;34;2;285;206;447;717;359;592;1350;528;150;1922;23203;3007;1601;18764;1964;130;85;1291;408;4843;2645;64628
"Semana 23";16;34;15;6;33;1;198;156;370;649;365;646;1028;625;146;1936;15902;3355;1057;12171;1172;98;37;964;274;3934;2447;47635
"Semana 24";24;38;15;24;33;2;120;207;336;665;413;546;822;599;184;1471;10622;2880;824;11357;1359;66;34;1029;270;3384;1943;39267
"Semana 25";16;32;9;18;18;3;92;116;218;638;415;362;628;600;194;1061;6503;2036;626;7268;905;61;33;890;202;2202;1308;26454
"Semana 26";21;38;10;11;24;4;69;141;304;574;401;446;546;571;291;1010;5266;2589;747;7480;1020;55;46;715;189;2445;887;25900
"Semana 27";21;34;8;8;14;4;45;121;197;518;338;427;547;544;396;986;3452;2388;539;5128;670;49;22;469;180;1651;664;19420
"Semana 28";29;35;9;11;14;2;33;143;241;533;410;492;522;573;288;917;2150;2091;391;2550;464;18;11;314;134;1178;345;13898
"Semana 29";22;26;9;5;17;2;14;68;243;412;365;508;498;595;323;911;1306;1503;323;2191;207;11;2;199;92;1098;227;11177
"Semana 30";29;26;10;26;13;1;14;97;179;372;465;522;314;611;354;763;825;1160;173;1835;215;16;3;189;79;860;157;9308
"Semana 31";40;33;4;13;23;4;24;45;138;417;267;468;307;476;402;632;584;961;196;1471;184;13;7;161;91;796;186;7943
"Semana 32";26;48;5;12;27;2;22;69;88;387;456;393;285;433;336;539;418;763;151;1233;146;6;4;109;51;530;131;6670
"Semana 33";10;34;6;25;26;5;18;64;64;329;459;437;336;553;272;494;351;657;134;842;105;7;1;108;50;681;132;6200
"Semana 34";12;20;14;17;16;2;12;47;57;318;306;299;375;471;317;399;392;508;151;714;101;4;-;99;68;633;99;5451
"Semana 35";6;48;9;13;41;2;17;40;40;249;374;592;291;408;252;377;329;530;105;548;109;4;3;107;61;503;73;5131
"Semana 36";6;31;10;18;29;3;10;35;43;240;196;256;336;295;173;322;327;371;100;460;92;-;2;56;49;513;79;4052
"Semana 37";4;28;1;39;24;3;9;38;39;226;207;188;294;294;166;272;382;427;96;452;88;-;1;53;38;535;77;3981
"Semana 38";4;49;18;41;44;-;12;40;26;183;179;284;240;264;168;267;310;402;90;532;95;3;2;61;53;535;81;3983
"Semana 39";5;26;39;50;47;3;8;19;37;163;107;186;259;277;130;231;271;297;69;635;96;1;2;71;39;561;93;3722
"Semana 40";12;32;49;46;45;2;9;27;16;111;92;222;334;228;120;179;302;275;127;626;121;-;3;78;43;606;106;3811
"Semana 41";8;93;70;46;23;2;18;45;25;93;109;174;202;195;84;141;263;302;74;563;131;2;3;70;49;505;103;3393
"Semana 42";13;95;97;74;40;4;21;36;10;63;66;129;223;186;94;169;301;312;73;533;175;-;1;78;41;626;98;3558
"Semana 43";12;202;133;55;20;5;25;26;27;82;59;106;210;96;73;125;215;227;74;484;216;-;3;104;58;501;80;3218
"Semana 44";14;198;124;62;30;-;36;12;23;80;44;136;156;92;66;128;234;271;72;569;224;3;-;108;75;571;86;3414
"Semana 45";17;358;151;96;25;3;30;15;23;98;40;104;180;74;62;141;207;309;96;748;338;-;1;117;89;629;100;4051
"Semana 46";20;444;117;89;39;2;49;27;18;87;42;102;103;69;51;115;196;233;65;730;443;-;-;128;86;579;94;3928
"Semana 47";25;533;189;129;26;3;48;21;21;84;29;78;108;124;38;128;237;260;61;895;632;-;-;120;162;628;118;4697
"Semana 48";26;633;229;92;47;4;53;14;20;93;40;88;91;170;22;143;319;284;87;1043;836;4;-;160;202;630;114;5444
"Semana 49";38;621;249;78;20;-;49;20;26;97;41;91;92;131;22;120;335;307;60;1204;1026;1;1;181;229;719;106;5864
"Semana 50";57;617;210;64;19;2;67;29;23;69;30;44;78;48;16;121;398;363;58;1372;1367;1;4;262;342;822;107;6590
"Semana 51";64;525;222;102;19;-;50;7;18;61;14;81;108;40;13;87;517;499;89;1654;1697;3;1;324;383;768;164;7510
"Semana 52";19;389;276;61;17;1;24;13;16;51;29;61;60;14;22;52;307;543;84;1450;1575;5;1;324;268;497;110;6269
"Total";868;9746;2900;1576;2150;188;12593;4192;6877;15530;10121;13486;21845;13786;5829;36330;401237;59943;24699;411829;41107;1966;1352;54507;9481;107752;29060;1300950
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
