DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Sorotipo                     
Sorotipo                     : DEN 1, DEN 2, DEN 3, DEN 4
Período:2014
"UF de notificação";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"11 Rondônia";2;-;-;-;2
"12 Acre";4;-;-;-;4
"13 Amazonas";14;-;-;42;56
"14 Roraima";3;1;2;10;16
"15 Pará";33;2;-;11;46
"16 Amapá";3;-;-;-;3
"17 Tocantins";9;-;-;5;14
"21 Maranhão";22;1;1;3;27
"22 Piauí";25;1;-;1;27
"23 Ceará";50;-;3;20;73
"24 Rio Grande do Norte";15;-;-;8;23
"25 Paraíba";11;1;-;-;12
"26 Pernambuco";27;1;4;7;39
"27 Alagoas";4;-;-;1;5
"28 Sergipe";7;-;-;5;12
"29 Bahia";40;3;-;291;334
"31 Minas Gerais";250;1;-;8;259
"32 Espírito Santo";33;-;1;12;46
"33 Rio de Janeiro";54;-;1;22;77
"35 São Paulo";1066;12;-;67;1145
"41 Paraná";238;1;-;4;243
"42 Santa Catarina";1;-;-;-;1
"43 Rio Grande do Sul";20;-;-;2;22
"50 Mato Grosso do Sul";26;2;-;35;63
"51 Mato Grosso";13;-;-;-;13
"52 Goiás";293;3;-;56;352
"53 Distrito Federal";85;1;-;1;87
"Total";2348;30;12;611;3001
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 A partir de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikun
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiologica, em cada período pode apresentar notificações com data de notificação do ano anterior (semana epidemiologica 52 ou 53) e posterior (semana epide
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021.
 Dados de 2021 atualizados em 25/01/2022, sujeitos a revisão.
 *Data da publicação dos dados 03/2022.
 
