DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2015
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";19;536;76;12;57;44;51;61;47;298;23;51;245;66;70;103;444;163;292;3680;137;5;3;124;100;1284;47;8038
"Semana 02";38;552;66;31;51;77;75;39;37;302;52;27;286;137;81;87;741;240;470;5403;200;5;-;227;141;1698;51;11114
"Semana 03";38;606;68;28;49;58;58;100;45;323;75;51;385;165;71;109;1046;183;675;9086;341;20;1;302;177;2426;104;16590
"Semana 04";37;467;72;11;90;80;71;53;38;433;91;65;456;213;91;119;1159;199;731;15207;463;59;2;349;188;3167;71;23982
"Semana 05";37;386;60;24;82;83;103;56;67;539;110;72;619;233;54;156;1398;161;572;19963;647;103;-;422;211;3511;108;29777
"Semana 06";65;358;68;18;109;173;129;92;74;521;145;78;741;212;75;176;1755;154;616;25552;681;141;2;484;203;3679;175;36476
"Semana 07";28;261;67;5;104;67;136;66;60;448;131;91;527;152;55;140;1337;89;542;23348;689;141;6;518;170;2647;109;31934
"Semana 08";42;296;70;12;181;150;195;147;118;698;251;150;1008;238;133;327;2372;169;698;35295;937;142;7;669;318;4613;197;49433
"Semana 09";43;231;76;6;157;137;216;237;187;870;268;228;1255;237;106;424;3125;124;1057;43047;1472;155;4;577;264;4173;197;58873
"Semana 10";61;186;108;14;218;207;230;223;235;1130;424;403;2069;282;180;635;4248;229;1281;51174;1922;257;67;712;314;4015;214;71038
"Semana 11";70;172;101;16;242;250;287;272;323;1005;419;411;2633;352;221;996;5476;277;1583;55940;2590;283;105;809;421;4111;185;79550
"Semana 12";49;171;118;18;293;153;363;323;508;1258;403;494;3204;353;233;1500;6168;336;1670;57084;3032;337;91;1135;387;4005;286;83972
"Semana 13";37;86;77;9;147;123;260;213;421;1210;418;402;2393;324;166;1109;6091;302;1354;43183;2993;256;115;1026;389;3153;229;66486
"Semana 14";68;60;86;26;137;149;276;283;503;1713;459;581;3614;383;227;1365;9827;361;1823;48700;3918;309;185;1209;566;4348;375;81551
