DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2018
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";11;95;19;-;37;3;9;10;23;31;10;22;57;23;2;15;184;62;71;113;14;-;1;36;189;641;16;1694
"Semana 02";19;92;31;-;19;7;32;22;32;48;13;34;87;50;3;40;287;66;104;163;18;1;-;48;274;914;33;2437
"Semana 03";31;102;22;-;34;10;33;41;39;53;23;41;81;40;2;87;348;82;112;207;21;-;-;95;291;1443;34;3272
"Semana 04";21;127;38;-;31;19;41;29;69;57;34;75;62;23;1;83;435;85;133;205;19;2;-;107;340;1512;31;3579
"Semana 05";15;94;29;1;33;23;43;27;44;99;27;47;78;28;-;69;461;83;126;216;19;2;1;84;366;2066;31;4112
"Semana 06";22;104;28;-;40;18;33;19;35;115;31;70;73;30;1;75;419;69;152;255;30;-;3;66;398;2043;31;4160
"Semana 07";14;79;22;-;38;10;17;28;24;95;40;46;69;43;-;55;367;86;69;183;8;-;-;62;228;1450;29;3062
"Semana 08";28;98;26;-;65;31;30;57;45;115;71;101;132;36;6;91;494;98;145;263;14;1;2;72;267;2366;20;4674
"Semana 09";10;78;31;-;82;20;38;63;32;118;58;86;111;27;2;107;543;103;170;299;14;1;1;80;309;2464;22;4869
"Semana 10";7;82;22;-;98;21;32;40;46;139;118;64;125;36;2;159;715;124;195;302;11;-;-;84;271;2712;18;5423
"Semana 11";14;81;21;1;97;28;51;53;48;153;142;62;153;29;1;154;766;164;271;378;15;-;-;90;283;3016;34;6105
"Semana 12";11;86;31;1;102;35;56;44;58;139;246;94;183;33;8;134;965;161;250;453;16;2;2;96;279;2751;30;6266
"Semana 13";10;77;14;-;62;30;56;40;36;151;215;76;131;18;5;125;856;137;240;365;16;-;-;84;182;2246;20;5192
"Semana 14";23;67;21;-;65;25;53;63;19;214;304;183;362;22;3;169;1333;195;362;456;51;1;1;58;179;3330;32;7591
"Semana 15";10;63;20;1;65;41;108;65;36;195;394;230;347;49;2;273;1824;214;429;516;53;5;-;68;231;3456;33;8728
"Semana 16";12;70;15;-;76;38;81;70;28;217;630;335;281;42;4;325;1787;310;383;491;45;5;1;68;157;3228;38;8737
"Semana 17";10;54;16;-;62;43;80;73;36;147;573;490;270;61;9;272;1467;280;310;542;41;10;2;83;150;2994;32;8107
"Semana 18";17;41;7;-;35;12;60;81;24;98;577;370;200;28;6;248;1107;200;356;427;35;1;-;51;151;2556;27;6715
"Semana 19";22;71;10;-;31;28;84;95;43;117;664;386;226;74;3;273;1046;269;340;499;45;7;-;83;149;3115;43;7723
"Semana 20";13;35;14;-;29;17;83;93;50;83;610;404;278;73;13;224;1075;252;344;539;53;3;-;78;143;3173;61;7740
"Semana 21";5;62;16;2;38;15;59;110;44;90;588;381;222;90;13;180;696;256;312;396;28;7;1;48;124;2429;31;6243
"Semana 22";16;78;5;1;18;6;33;80;66;72;454;303;154;37;5;167;347;228;195;290;13;1;-;30;87;1548;9;4243
"Semana 23";7;38;5;1;34;14;41;43;44;70;436;347;197;78;2;195;494;244;206;288;14;2;-;35;97;1804;32;4768
"Semana 24";10;29;16;2;27;18;28;37;63;88;471;305;204;92;9;184;424;250;201;238;8;2;1;38;93;1292;29;4159
"Semana 25";2;34;5;1;31;6;21;14;54;81;546;247;143;56;4;133;391;169;218;211;7;2;2;22;92;1251;22;3765
"Semana 26";6;43;5;-;32;5;21;19;41;90;405;217;169;59;1;67;277;275;202;188;8;1;-;57;62;952;27;3229
"Semana 27";4;24;1;3;10;3;16;14;27;111;337;156;110;28;-;74;201;202;182;161;6;1;-;34;65;664;19;2453
"Semana 28";8;33;4;3;10;11;15;18;28;98;379;176;117;72;3;83;213;214;191;139;12;-;1;20;56;588;15;2507
"Semana 29";4;48;7;3;17;6;10;17;25;59;430;200;121;28;6;39;136;206;166;132;8;1;-;31;38;535;13;2286
"Semana 30";10;43;8;3;12;11;5;17;46;40;362;186;149;61;3;60;112;147;153;142;4;-;2;17;41;414;22;2070
"Semana 31";7;57;6;3;16;9;4;16;34;54;301;148;114;53;-;61;123;171;124;137;6;-;-;25;32;435;9;1945
"Semana 32";3;29;4;9;10;12;11;16;27;69;335;125;140;41;1;53;82;150;116;118;4;-;1;15;32;488;9;1900
"Semana 33";6;37;5;5;13;13;12;19;14;61;257;110;140;42;4;53;96;141;86;98;8;1;-;8;43;383;10;1665
"Semana 34";3;30;7;3;30;18;11;18;32;60;278;108;110;46;5;67;80;197;80;86;-;-;-;11;44;388;13;1725
