DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. notificação e UF de notificação
Criterio conf.: Laboratórial, Clínico-epidemiológico
Período:2014
"Semana epidem. notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Em Branco/ign";-;-;-;1;4;-;-;-;-;-;-;-;11;-;-;-;-;94;2;4;-;-;-;-;2;-;-;118
"Semana 01";20;32;50;3;34;1;94;6;8;70;10;32;33;53;9;64;258;245;78;114;121;-;-;44;100;598;26;2103
"Semana 02";49;25;113;9;93;5;139;11;53;91;42;62;40;140;7;114;517;550;170;253;247;3;3;58;205;1127;96;4222
"Semana 03";34;24;129;10;80;1;111;13;34;192;59;54;31;162;6;95;712;688;179;417;271;1;1;69;203;1350;117;5043
"Semana 04";37;31;136;10;111;7;120;17;40;256;76;47;48;125;8;127;950;685;134;522;293;-;1;89;230;1584;202;5886
"Semana 05";42;38;154;16;131;5;135;19;79;261;98;62;86;97;12;135;1316;572;112;917;399;1;6;113;203;2084;203;7296
"Semana 06";58;24;158;17;106;4;119;23;43;296;81;66;88;126;10;151;1480;505;144;1247;510;-;1;134;197;2363;370;8321
"Semana 07";40;27;136;12;118;6;129;32;77;394;135;95;80;149;11;178;1912;546;113;2057;584;-;1;156;274;2301;549;10112
"Semana 08";60;33;234;8;121;7;132;48;92;363;124;79;88;123;10;228;2131;495;100;3115;766;-;20;128;308;2792;243;11848
"Semana 09";61;29;213;8;127;1;101;37;83;288;66;76;85;122;15;144;1968;482;78;3403;784;1;2;115;240;2769;262;11560
"Semana 10";48;23;108;9;102;2;96;21;51;219;67;54;64;101;9;96;1513;347;33;3303;671;1;3;49;198;1533;247;8968
"Semana 11";57;38;169;14;113;8;116;42;69;338;94;72;125;159;23;173;1880;570;97;4916;881;-;11;81;226;2383;308;12963
"Semana 12";57;43;188;11;145;2;120;63;91;331;116;84;152;159;27;215;2044;536;113;6618;1060;2;3;86;264;2526;282;15338
"Semana 13";56;45;156;22;153;10;82;57;65;383;148;82;213;219;30;232;2672;504;102;9739;1290;2;1;110;195;2906;328;19802
"Semana 14";52;50;256;14;129;45;82;54;140;417;146;89;208;193;35;350;2547;434;76;12780;1189;3;3;120;209;3013;395;23029
"Semana 15";39;69;176;14;116;39;73;65;171;492;143;121;271;172;43;415;3119;585;101;16841;1418;2;3;74;216;2973;494;28245
"Semana 16";46;43;106;6;73;28;69;37;129;356;116;95;285;195;33;326;2767;537;78;17491;1374;6;5;68;182;2821;574;27846
"Semana 17";17;69;90;13;65;20;81;77;145;533;165;92;274;232;68;494;3343;572;56;21550;1394;6;-;105;159;3279;565;33464
"Semana 18";21;58;68;20;91;33;90;46;232;469;178;98;314;244;121;406;2796;501;70;18358;1081;3;4;87;163;3054;571;29177
"Semana 19";47;102;105;18;97;82;65;71;292;591;228;181;372;209;139;422;2721;580;85;17347;1248;4;4;90;146;3573;762;29581
"Semana 20";38;78;45;12;76;116;105;51;316;703;274;193;328;383;132;296;2040;516;77;14264;1000;3;4;54;120;3172;719;25115
"Semana 21";33;103;48;19;53;67;74;46;452;660;253;161;385;444;100;431;1876;520;69;11701;901;-;2;60;121;3188;876;22643
"Semana 22";29;102;70;26;43;46;89;38;434;761;138;144;359;380;115;444;1624;543;73;8739;625;10;-;44;104;2883;828;18691
"Semana 23";35;90;49;17;43;11;98;37;364;837;141;149;318;408;99;360;1323;559;84;6079;306;3;1;30;89;2753;707;14990
"Semana 24";21;117;45;26;19;31;74;29;320;802;92;128;283;428;88;251;906;461;72;4053;176;2;1;24;79;1881;486;10895
